Series Name,Series Code,Country Name,Country Code,,
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,2015,20410
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,2016,20550
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,2017,21550
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,2018,22610
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,2019,22860
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2012,672119.9951
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2013,658479.9805
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2014,649409.9731
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2015,667049.9878
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2016,674000
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2017,671599.9756
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2018,654250
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,2019,653869.9951
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2012,486450.0122
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2013,475739.9902
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2014,462239.9902
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2015,471630.0049
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2016,473309.9976
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2017,471579.9866
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2018,452570.0073
CO2 emissions (kt),EN.ATM.CO2E.KT,Mexico,MEX,2019,449269.989
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2012,127459.9991
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2013,121279.9988
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2014,129869.9951
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2015,137470.0012
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2016,137740.0055
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2017,136020.0043
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2018,137679.9927
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Mexico,MEX,2019,138800.0031
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2012,41910
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2013,44080
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2014,39320
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2015,39360
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2016,43600
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2017,43880
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2018,43120
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Mexico,MEX,2019,44150
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2012,89720.00122
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2013,91680.00031
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2014,95440.00244
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2015,97150.00153
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2016,100069.9997
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2017,97639.99939
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2018,97889.99939
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,2019,100730.0034
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2012,48119.99893
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2013,49750
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2014,53169.99817
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2015,54549.99924
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2016,56860.00061
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2017,54270.00046
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2018,54590.00015
CO2 emissions (kt),EN.ATM.CO2E.KT,Peru,PER,2019,56750
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2012,31149.99962
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2013,31340.00015
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2014,31719.99931
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2015,31729.99954
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2016,32169.99817
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2017,31979.99954
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2018,32259.99832
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Peru,PER,2019,32509.99832
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2012,9690
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2013,9750
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2014,9650
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2015,9900
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2016,9980
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2017,10240
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2018,9810
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Peru,PER,2019,10150
